,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
40,w1,5,0.0,100,0.62,0.048538644398046386,0.5011639999999999,0.03922065184363972,0.8081548387096773,0.0012539006308253287
96,w1,5,0.5,100,0.7,0.045825756949558406,0.556264,0.03641007430698268,0.7945542857142857,0.001256838738725199
54,w1,5,1.0,100,0.62,0.048538644398046386,0.48239800000000005,0.03775475424314135,0.7778935483870967,0.001411161968297292
8,w1,5,1.5,100,0.75,0.04330127018922193,0.5708040000000001,0.03295764433086807,0.7609760000000001,0.0014874501254010354
1,w1,5,2.0,100,0.65,0.047696960070847276,0.48028600000000005,0.0352427164963202,0.7387507692307692,0.0018219699632841624
58,w1,5,2.5,100,0.67,0.04702127178203499,0.47457800000000006,0.03330988020332706,0.7081641791044777,0.0019821027034860163
89,w1,5,3.0,100,0.59,0.04918333050943175,0.40031799999999995,0.03336899927717341,0.6783118644067796,0.0020079547131622954
49,w1,5,3.5,100,0.59,0.04918333050943175,0.37891600000000003,0.03159560554001141,0.6420677966101695,0.002257579325444602
65,w1,5,4.0,100,0.7,0.045825756949558406,0.413996,0.02714345710921879,0.5912799999999998,0.0026377925217414473
20,w1,5,4.5,100,0.73,0.044395945760846225,0.397568,0.024211975833458948,0.5444931506849315,0.0021965020458975877
26,w1,5,5.0,100,0.61,0.048774993593028795,0.29159199999999996,0.023859874755748404,0.4778098360655738,0.008503792316805708
22,w1,10,0.0,100,0.69,0.04624932431938871,0.5576760000000001,0.03736375407048922,0.8080608695652175,0.001153858430227083
64,w1,10,0.5,100,0.65,0.047696960070847276,0.517246,0.0379420675087692,0.795603076923077,0.0012275457194744687
83,w1,10,1.0,100,0.62,0.048538644398046386,0.48239800000000005,0.03775475424314135,0.7778935483870967,0.001411161968297292
30,w1,10,1.5,100,0.74,0.04386342439892262,0.562862,0.03336241870068775,0.7604972972972973,0.0015708550952781982
38,w1,10,2.0,100,0.74,0.04386342439892262,0.5469120000000001,0.03241967850796797,0.7389702702702703,0.00147563450310067
75,w1,10,2.5,100,0.73,0.044395945760846225,0.519042,0.0315642709778002,0.7108630136986303,0.0016591156351340205
70,w1,10,3.0,100,0.72,0.0448998886412873,0.48999600000000015,0.03056818685888975,0.6804194444444444,0.001957216622986212
16,w1,10,3.5,100,0.65,0.047696960070847276,0.41497,0.030462525748860686,0.6382492307692307,0.00223586275057692
93,w1,10,4.0,100,0.64,0.048,0.37931199999999987,0.02847007514145335,0.592525,0.0024059395091886667
44,w1,10,4.5,100,0.69,0.04624932431938871,0.379094,0.025455734513857582,0.5493043478260868,0.0025695471809061596
11,w1,10,5.0,100,0.62,0.048538644398046386,0.31066200000000005,0.024893468009901717,0.5008612903225808,0.008752618860308784
61,w1,15,0.0,100,0.64,0.048,0.51719,0.03877320449743612,0.807928125,0.0012397341510908134
0,w1,15,0.5,100,0.65,0.047696960070847276,0.515946,0.03785159535396097,0.7936123076923076,0.0014695255567213107
46,w1,15,1.0,100,0.62,0.048538644398046386,0.48239800000000005,0.03775475424314135,0.7778935483870967,0.001411161968297292
90,w1,15,1.5,100,0.57,0.04950757517794625,0.432326,0.03752800497281997,0.7582070175438596,0.0013635808679035297
95,w1,15,2.0,100,0.58,0.04935585071701227,0.428296,0.03643302551038,0.7382310344827586,0.0015670795919993446
42,w1,15,2.5,100,0.65,0.047696960070847276,0.46281200000000006,0.03395523085711537,0.71184,0.0017210163503309636
9,w1,15,3.0,100,0.71,0.04537620521815371,0.47926199999999997,0.030644458643611244,0.6748647887323942,0.002164105565951307
52,w1,15,3.5,100,0.75,0.04330127018922193,0.482248,0.027858693884674497,0.6428906666666666,0.0018496569515773777
34,w1,15,4.0,100,0.62,0.048538644398046386,0.37337400000000004,0.029238979825568473,0.6020354838709677,0.0021814158029070706
79,w1,15,4.5,100,0.67,0.04702127178203499,0.37465000000000004,0.02633617487411564,0.5590597014925374,0.0026490650003840434
72,w1,15,5.0,100,0.73,0.044395945760846225,0.376252,0.022960477803390764,0.5153123287671233,0.002856203439308203
78,w2,5,0.0,100,0.68,0.0466476151587624,0.6332380000000001,0.04341993640667845,0.9310823529411764,0.0006175663153682109
35,w2,5,0.5,100,0.69,0.04624932431938871,0.576792,0.038649405368776375,0.835791304347826,0.0012048382111386072
12,w2,5,1.0,100,0.62,0.048538644398046386,0.48239800000000005,0.03775475424314135,0.7778935483870967,0.001411161968297292
74,w2,5,1.5,100,0.68,0.0466476151587624,0.5074940000000001,0.03480396695263343,0.7461441176470588,0.00150399034168885
68,w2,5,2.0,100,0.71,0.04537620521815371,0.512876,0.03278767204667023,0.7222338028169015,0.001959288017737312
19,w2,5,2.5,100,0.5,0.05,0.351576,0.03516172194645763,0.702868,0.003023796871484592
27,w2,5,3.0,100,0.63,0.048280430818293245,0.432936,0.033186223271713215,0.687031746031746,0.002234254077861004
85,w2,5,3.5,100,0.72,0.0448998886412873,0.4859400000000001,0.030310154536062662,0.6747888888888889,0.0017750495076076503
5,w2,5,4.0,100,0.64,0.048,0.422796,0.03171757846746816,0.66043125,0.002255653568804602
57,w2,5,4.5,100,0.67,0.04702127178203499,0.43308399999999997,0.030397723885843823,0.6462029850746268,0.0020374287542116757
91,w2,5,5.0,100,0.66,0.04737087712930804,0.4162999999999999,0.02988908824303612,0.6305848484848484,0.002147038922799445
77,w2,10,0.0,100,0.63,0.048280430818293245,0.586262,0.04491180679465034,0.9304285714285714,0.0007243920955844759
36,w2,10,0.5,100,0.64,0.048,0.53465,0.04008251432981719,0.8352187499999999,0.0011432181033538343
17,w2,10,1.0,100,0.62,0.048538644398046386,0.48239800000000005,0.03775475424314135,0.7778935483870967,0.001411161968297292
69,w2,10,1.5,100,0.62,0.048538644398046386,0.461606,0.03613551676176778,0.7443677419354838,0.0018101815958505452
