,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
15,w1,5,0.0,500,0.684,0.020791536739741004,0.5530488,0.01680638907193095,0.8084181286549709,0.0005431927590981281
12,w1,5,0.5,500,0.68,0.020861447696648473,0.540404,0.016575121191955127,0.7945705882352941,0.0006270739008944512
24,w1,5,1.0,500,0.646,0.021386163751360363,0.5032436,0.016656376197663164,0.778856346749226,0.000681078344725578
20,w1,5,1.5,500,0.662,0.02115447943108031,0.5027792000000001,0.016063550713796747,0.7593196374622357,0.0007362828614239797
27,w1,5,2.0,500,0.662,0.02115447943108031,0.48903560000000007,0.015624805638000108,0.7385583081570997,0.0007491103612888017
31,w1,5,2.5,500,0.676,0.020929596269398033,0.4799104,0.014858375360169093,0.7097739644970414,0.0007964207491394221
36,w1,5,3.0,500,0.702,0.020454632727086548,0.474668,0.013836236437413173,0.676031339031339,0.0009087435553988503
45,w1,5,3.5,500,0.66,0.021184900282984576,0.41971479999999994,0.013479293407368205,0.635779393939394,0.0010140215324678408
51,w1,5,4.0,500,0.634,0.021542701780417423,0.3759344,0.012785220856648507,0.5927760252365931,0.0011813090310316533
55,w1,5,4.5,500,0.64,0.02146625258399798,0.34716,0.011710102264284459,0.5422318749999999,0.0021117834280120137
62,w1,5,5.0,500,0.602,0.02189045454073533,0.29702,0.010870996900008756,0.49314352159468433,0.00224017713908917
14,w1,10,0.0,500,0.676,0.020929596269398033,0.5464880000000001,0.016914382184165046,0.8082721893491125,0.0005283761811255968
11,w1,10,0.5,500,0.684,0.020791536739741004,0.5427504,0.016494048852834165,0.7933625730994152,0.0005798357008339808
23,w1,10,1.0,500,0.646,0.021386163751360363,0.5032436,0.016656376197663164,0.778856346749226,0.000681078344725578
19,w1,10,1.5,500,0.664,0.02112363605064242,0.5040256000000001,0.016102295278912257,0.7589090361445783,0.0023884567751048342
29,w1,10,2.0,500,0.646,0.021386163751360363,0.4766904,0.01577755105888363,0.7377374613003096,0.0007243823669540237
30,w1,10,2.5,500,0.654,0.021273645667821018,0.4648696,0.015120176292347916,0.710645259938838,0.0007875389656824788
35,w1,10,3.0,500,0.69,0.02068332661831747,0.4671304,0.014007628626990365,0.6768585507246377,0.0009228034019635992
40,w1,10,3.5,500,0.706,0.020374690181693564,0.451252,0.013030320199902995,0.6390475920679887,0.0009078167028167295
48,w1,10,4.0,500,0.666,0.02109236828807993,0.39747040000000006,0.012599861155095322,0.5966600600600601,0.0010885013894817597
82,w1,10,4.5,500,0.668,0.02106067425321421,0.3675104,0.011605248120728827,0.5500125748502994,0.0012078453904205081
86,w1,10,5.0,500,0.676,0.020929596269398033,0.34106640000000005,0.010648409300082337,0.5043798816568047,0.0021403825720338024
39,w1,15,0.0,500,0.71,0.020292855885754475,0.5742544,0.0164088139291443,0.8086839436619719,0.0005424127695838322
41,w1,15,0.5,500,0.646,0.021386163751360363,0.5129964,0.01697702686261879,0.7939424148606811,0.0005889850925768435
43,w1,15,1.0,500,0.646,0.021386163751360363,0.5032436,0.016656376197663164,0.778856346749226,0.000681078344725578
44,w1,15,1.5,500,0.682,0.020826713614970557,0.5170876000000001,0.015788881470594426,0.758058064516129,0.0006916431477490007
47,w1,15,2.0,500,0.666,0.02109236828807993,0.49277279999999996,0.0156055622737638,0.7397459459459459,0.0007960420437584752
49,w1,15,2.5,500,0.686,0.020755914819636352,0.4876476,0.014756295690602028,0.7107172011661808,0.0008314854928304263
59,w1,15,3.0,500,0.68,0.020861447696648473,0.46138080000000004,0.014156434451609629,0.6783441176470588,0.0008625167278619267
70,w1,15,3.5,500,0.7,0.020493901531919198,0.4487064,0.01314726492918128,0.6408777142857144,0.0010216019679852098
88,w1,15,4.0,500,0.642,0.021439962686534694,0.3861148,0.012903306963794976,0.6012566978193147,0.0010860489024585157
89,w1,15,4.5,500,0.686,0.020755914819636352,0.38459160000000003,0.01165710333911817,0.5604746355685131,0.001237316717167203
96,w1,15,5.0,500,0.676,0.020929596269398033,0.34993320000000006,0.010875325902037145,0.5175130177514794,0.0015421731590861546
54,w2,5,0.0,500,0.692,0.020646355610615643,0.6438075999999999,0.0192017024173504,0.9302393063583815,0.00030333034899955857
60,w2,5,0.5,500,0.694,0.020608930103234373,0.58001,0.017218450094012527,0.8356109510086455,0.0005257867883919812
63,w2,5,1.0,500,0.646,0.021386163751360363,0.5032436,0.016656376197663164,0.778856346749226,0.000681078344725578
64,w2,5,1.5,500,0.662,0.02115447943108031,0.4924592,0.015735866812817145,0.7437486404833837,0.0007746923846268871
67,w2,5,2.0,500,0.654,0.021273645667821018,0.47265560000000006,0.01537634280761456,0.7225535168195718,0.0009086224074017499
65,w2,5,2.5,500,0.672,0.02099599961897504,0.473152,0.014785624982123683,0.7039398809523809,0.0009003638090349656
66,w2,5,3.0,500,0.692,0.020646355610615643,0.476652,0.014228939188569188,0.6886780346820809,0.0009768300987696237
77,w2,5,3.5,500,0.682,0.020826713614970557,0.45897720000000003,0.014020961636076178,0.67283284457478,0.0009491836116623493
78,w2,5,4.0,500,0.674,0.020963015050321363,0.443764,0.013806840135527028,0.6582646884272997,0.0009105172365502729
